Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,4317112.797660516 
 01/01  02:00:00,3936939.083658117 
 01/01  03:00:00,3642134.741950001 
 01/01  04:00:00,3444600.8613971427 
 01/01  05:00:00,3313740.2251144999 
 01/01  06:00:00,3225228.097480909 
 01/01  07:00:00,3176998.521145139 
 01/01  08:00:00,3230933.8530772465 
 01/01  09:00:00,3395597.6512215475 
 01/01  10:00:00,3430431.8242948406 
 01/01  11:00:00,3150661.6977429485 
 01/01  12:00:00,2920611.5861733227 
 01/01  13:00:00,2835591.529854068 
 01/01  14:00:00,2874796.9773919035 
 01/01  15:00:00,3526182.8045391167 
 01/01  16:00:00,4076193.6151227729 
 01/01  17:00:00,4271514.42204515 
 01/01  18:00:00,4363526.093403384 
 01/01  19:00:00,4426994.468650506 
 01/01  20:00:00,4466177.667547021 
 01/01  21:00:00,4473250.159344172 
 01/01  22:00:00,4468577.322335444 
 01/01  23:00:00,4466960.235981927 
 01/01  24:00:00,4481725.868168537 
 01/02  01:00:00,4506016.8137596859 
 01/02  02:00:00,4518354.267403021 
 01/02  03:00:00,4537560.495660062 
 01/02  04:00:00,4572881.056026459 
 01/02  05:00:00,4582806.591984759 
 01/02  06:00:00,4328508.919913638 
 01/02  07:00:00,4345504.106992721 
 01/02  08:00:00,3331246.368921268 
 01/02  09:00:00,555141.8639338014 
 01/02  10:00:00,704972.5516975471 
 01/02  11:00:00,313979.89455302836 
 01/02  12:00:00,55090.927599728995 
 01/02  13:00:00,671.8784053408689 
 01/02  14:00:00,0.0 
 01/02  15:00:00,501422.9965252955 
 01/02  16:00:00,1013586.0673385923 
 01/02  17:00:00,1153934.0173933414 
 01/02  18:00:00,3141886.3782103799 
 01/02  19:00:00,3960929.8522667146 
 01/02  20:00:00,3837393.007465338 
 01/02  21:00:00,4339651.267035363 
 01/02  22:00:00,4298980.402912659 
 01/02  23:00:00,4787338.553314943 
 01/02  24:00:00,4942478.899974075 
 01/03  01:00:00,4860107.491244294 
 01/03  02:00:00,4828551.3751620049 
 01/03  03:00:00,4829802.220711311 
 01/03  04:00:00,4854175.311407667 
 01/03  05:00:00,4874683.329093019 
 01/03  06:00:00,4540932.139273737 
 01/03  07:00:00,4438737.227886331 
 01/03  08:00:00,3336897.5859180467 
 01/03  09:00:00,569409.0777335824 
 01/03  10:00:00,904785.7705548189 
 01/03  11:00:00,851850.7645335018 
 01/03  12:00:00,624701.3775608481 
 01/03  13:00:00,420171.097058553 
 01/03  14:00:00,408688.71094883189 
 01/03  15:00:00,669921.3459340083 
 01/03  16:00:00,893351.6172604276 
 01/03  17:00:00,1003649.4827251664 
 01/03  18:00:00,2940893.764110304 
 01/03  19:00:00,3693402.364454652 
 01/03  20:00:00,3521075.7480504189 
 01/03  21:00:00,3976090.0976049697 
 01/03  22:00:00,3876014.3732152048 
 01/03  23:00:00,4332408.273258418 
 01/03  24:00:00,4461941.377608719 
 01/04  01:00:00,4347834.010259341 
 01/04  02:00:00,4324857.058826277 
 01/04  03:00:00,4405559.45761681 
 01/04  04:00:00,4515436.707066619 
 01/04  05:00:00,4636850.729549752 
 01/04  06:00:00,4484732.52772281 
 01/04  07:00:00,4610833.018314875 
 01/04  08:00:00,3680960.78653736 
 01/04  09:00:00,971376.6041348865 
 01/04  10:00:00,1200745.3501859045 
 01/04  11:00:00,529525.3695388438 
 01/04  12:00:00,450143.73000454696 
 01/04  13:00:00,504046.12516973979 
 01/04  14:00:00,612705.4611071737 
 01/04  15:00:00,1363452.7698208465 
 01/04  16:00:00,2058130.005770571 
 01/04  17:00:00,2301752.45007623 
 01/04  18:00:00,4396899.079007717 
 01/04  19:00:00,5274567.197837504 
 01/04  20:00:00,5175235.638745141 
 01/04  21:00:00,5693988.336718253 
 01/04  22:00:00,5662658.133449249 
 01/04  23:00:00,6190981.001251352 
 01/04  24:00:00,6376176.780604044 
 01/05  01:00:00,6330617.024543322 
 01/05  02:00:00,6315633.839729583 
 01/05  03:00:00,6317244.205271376 
 01/05  04:00:00,6330955.487553595 
 01/05  05:00:00,6347165.948970389 
 01/05  06:00:00,6079485.315883838 
 01/05  07:00:00,6068780.328785101 
 01/05  08:00:00,5007910.617532636 
 01/05  09:00:00,2140093.6700814145 
 01/05  10:00:00,2181249.58588701 
 01/05  11:00:00,1614674.8364921963 
 01/05  12:00:00,1205307.4200655365 
 01/05  13:00:00,966578.9536807977 
 01/05  14:00:00,891641.0688599889 
 01/05  15:00:00,1592480.4044317173 
 01/05  16:00:00,2259867.173323316 
 01/05  17:00:00,2485054.6044718369 
 01/05  18:00:00,4543442.360214324 
 01/05  19:00:00,5398300.130544586 
 01/05  20:00:00,5235700.835387339 
 01/05  21:00:00,5591489.093947305 
 01/05  22:00:00,5372204.692261132 
 01/05  23:00:00,5677251.9748749 
 01/05  24:00:00,5712391.518118189 
 01/06  01:00:00,5536444.947905622 
 01/06  02:00:00,5340344.774044263 
 01/06  03:00:00,5129078.936839925 
 01/06  04:00:00,4874432.908766594 
 01/06  05:00:00,4691452.125715419 
 01/06  06:00:00,4346083.233988724 
 01/06  07:00:00,4304008.010392345 
 01/06  08:00:00,3291917.0325064419 
 01/06  09:00:00,594758.2130249748 
 01/06  10:00:00,829595.2887545172 
 01/06  11:00:00,530297.7563743008 
 01/06  12:00:00,431488.691338441 
 01/06  13:00:00,481679.55474229747 
 01/06  14:00:00,632792.2057772122 
 01/06  15:00:00,889249.851217493 
 01/06  16:00:00,1107193.3493448692 
 01/06  17:00:00,1234036.6666094978 
 01/06  18:00:00,3297918.846383233 
 01/06  19:00:00,4214641.262485215 
 01/06  20:00:00,4133776.8436524404 
 01/06  21:00:00,4529439.655826491 
 01/06  22:00:00,4333269.091143536 
 01/06  23:00:00,4738486.82735123 
 01/06  24:00:00,4948298.302570505 
 01/07  01:00:00,4955121.688675198 
 01/07  02:00:00,4989096.709412172 
 01/07  03:00:00,4987309.096072565 
 01/07  04:00:00,4972735.6100024529 
 01/07  05:00:00,4932084.9602680229 
 01/07  06:00:00,4881483.794793396 
 01/07  07:00:00,4569449.05033875 
 01/07  08:00:00,4592059.931006072 
 01/07  09:00:00,3689664.9785868285 
 01/07  10:00:00,3834835.4897076387 
 01/07  11:00:00,3729888.0479492277 
 01/07  12:00:00,3508759.8385323069 
 01/07  13:00:00,4103765.824533536 
 01/07  14:00:00,3961727.389129375 
 01/07  15:00:00,4020557.021920377 
 01/07  16:00:00,4136496.7371324279 
 01/07  17:00:00,4175608.4199063975 
 01/07  18:00:00,4658082.862519064 
 01/07  19:00:00,4920244.658778376 
 01/07  20:00:00,4742175.00143272 
 01/07  21:00:00,4464335.104909455 
 01/07  22:00:00,4438520.82284993 
 01/07  23:00:00,4435592.36855237 
 01/07  24:00:00,4452696.522969306 
 01/08  01:00:00,4476397.267517639 
 01/08  02:00:00,4491996.722978794 
 01/08  03:00:00,4503562.357274501 
 01/08  04:00:00,4881845.116456124 
 01/08  05:00:00,4777188.034271657 
 01/08  06:00:00,4566975.528315125 
 01/08  07:00:00,4654524.115902913 
 01/08  08:00:00,4709648.232896495 
 01/08  09:00:00,4723282.265043648 
 01/08  10:00:00,4683705.538207644 
 01/08  11:00:00,4601901.851805382 
 01/08  12:00:00,4523291.33228268 
 01/08  13:00:00,4501012.001442035 
 01/08  14:00:00,4597287.405655765 
 01/08  15:00:00,4779401.694014745 
 01/08  16:00:00,4943087.268820667 
 01/08  17:00:00,5063230.160981821 
 01/08  18:00:00,5141574.558966694 
 01/08  19:00:00,5210330.634451005 
 01/08  20:00:00,5286852.802750158 
 01/08  21:00:00,5389615.886240018 
 01/08  22:00:00,5506445.663602103 
 01/08  23:00:00,5633295.235778965 
 01/08  24:00:00,5784540.953715838 
 01/09  01:00:00,5928314.590387186 
 01/09  02:00:00,6055463.223493836 
 01/09  03:00:00,6125463.131608158 
 01/09  04:00:00,6179864.044774134 
 01/09  05:00:00,6221367.336437834 
 01/09  06:00:00,5985033.114792982 
 01/09  07:00:00,6036286.089055703 
 01/09  08:00:00,5088316.626741549 
 01/09  09:00:00,2248558.8812863256 
 01/09  10:00:00,2303254.621141242 
 01/09  11:00:00,1749240.1866756683 
 01/09  12:00:00,1379638.1506483693 
 01/09  13:00:00,1113122.5391309753 
